DATAFLOW,LAST UPDATE,freq,duration,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Greece,2020,10.6,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Greece,2021,12.1,b,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Greece,2022,12.5,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Greece,2023,11.8,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Greece,2024,11.0,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Greece,2025,10.5,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Spain,2016,17.1,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Spain,2017,18.1,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Spain,2018,18.3,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Spain,2019,17.7,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Spain,2020,15.5,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Spain,2021,17.1,bd,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Spain,2022,18.4,d,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Spain,2023,18.3,d,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Spain,2024,17.9,d,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,Spain,2025,17.5,d,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,European Union - 27 countries (from 2020),2016,13.2,,
ESTAT:LFSA_EGAD(1.0),17/04/26 11:00:00,Annual,From 0 to 11 months,Females,From 20 to 64 years,Percentage,European Union - 27 countries (from 2020),2017,13.6,,
