"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Benin","HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions","Mean weekly hours usually worked per employee by sex","Male","2019",47.92,,,"Repository: ILO-STATISTICS - Micro data processing"
"Benin","HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions","Mean weekly hours usually worked per employee by sex","Female","2019",47.61,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","LFS - Regional Integrated Survey on Employment and the Informal Sector","Mean weekly hours usually worked per employee by sex","Male","2023",42.62,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","LFS - Regional Integrated Survey on Employment and the Informal Sector","Mean weekly hours usually worked per employee by sex","Female","2023",37.88,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HIES - Harmonized Survey on Household Living Conditions","Mean weekly hours usually worked per employee by sex","Male","2022",45.81,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HIES - Harmonized Survey on Household Living Conditions","Mean weekly hours usually worked per employee by sex","Female","2022",40.25,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HIES - Harmonized Survey on Household Living Conditions","Mean weekly hours usually worked per employee by sex","Male","2019",47.12,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HIES - Harmonized Survey on Household Living Conditions","Mean weekly hours usually worked per employee by sex","Female","2019",43.03,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","LFS - Regional Integrated Survey on Employment and the Informal Sector","Mean weekly hours usually worked per employee by sex","Male","2018",51.76,,,"Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","LFS - Regional Integrated Survey on Employment and the Informal Sector","Mean weekly hours usually worked per employee by sex","Female","2018",45.09,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2017",54.68,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2017",49.76,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Male","2024",39.97,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","LFS - EU Labour Force Survey","Mean weekly hours usually worked per employee by sex","Female","2024",39.8,,,"Repository: ILO-STATISTICS - Micro data processing"
